Year,Location,Avg Min Temp *F,Yr Rain inches,Heat Wave,Dry Spell,Cold Wave,Wet Spell
1980,Emilyland,67.28,27.8717,N,N,Y,N
1980,East Xavierport,73.4,24.2319,N,N,Y,N
1980,North Daniel,69.80000000000001,48.4579,N,N,N,N
1981,Emilyland,67.82,33.5567,N,n,Y,N
1981,East Xavierport,73.75999999999999,23.2851,N,N,Y,N
1981,North Daniel,69.80000000000001,52.6425,N,N,N,N
1982,Emilyland,67.82,30.0264,0,N,Y,N
1982,East Xavierport,73.58000000000001,26.7087,N,N,Y,N
1982,North Daniel,69.98,54.2859,N,N,N,N
1983,Emilyland,68.53999999999999,31.8949,N,N,yes,N
1983,East Xavierport,73.03999999999999,27.4953,N,N,Y,N
1983,North Daniel,70.7,51.2296,N,N,N,N
1984,Emilyland,68.72,36.089,N,N,Y,N
1984,East Xavierport,73.58000000000001,26.1965,N,N,Y,N
1984,North Daniel,70.52,44.7296,N,N,N,N
1985,East Xavierport,73.75999999999999,25.3697,N,N,Y,N
1985,North Daniel,69.98,50.0051,N,N,N,N
1985,Emilyland,68.18,41.7343,N,N,Y,N
1986,North Daniel,70.52,49.1051,N,N,N,N
1986,Emilyland,69.44,32.7036,N,N,N,N
1986,East Xavierport,74.48,27.4984,N,N,N,N
1987,North Daniel,70.34,55.8536,N,N,N,N
1987,Emilyland,68.53999999999999,36.7957,N,N,Y,N
1987,East Xavierport,73.75999999999999,25.1173,N,No,Y,N
1988,North Daniel,70.34,57.4729,N,N,N,N
1988,Emilyland,69.08000000000001,38.6532,N,N,N,N
1988,East Xavierport,73.75999999999999,32.2587,N,N,Y,N
1989,North Daniel,70.52,48.2988,N,N,N,N
1989,Emilyland,69.62,38.604,N,N,N,no
1989,East Xavierport,75.02,31.3784,N,N,N,N
1990,North Daniel,70.88,53.289,N,N,N,N
1990,East Xavierport,74.30000000000001,29.9437,N,N,Y,N
1990,Emilyland,69.08000000000001,36.4268,N,N,Y,N
1991,East Xavierport,74.66,30.0961,N,N,N,N
1991,North Daniel,70.52,55.8473,N,N,No,N
1991,Emilyland,68.9,42.2166,N,N,N,N
1992,East Xavierport,74.48,31.791,N,N,Y,N
1992,North Daniel,70.7,55.387,N,N,N,N
1992,Emilyland,68.18,46.9118,N,N,1,Y
1993,East Xavierport,74.30000000000001,31.5614,N,N,N,N
1993,North Daniel,70.7,58.9544,N,N,N,N
1993,Emilyland,68.72,44.6575,N,N,Y,N
1994,East Xavierport,75.56,32.4886,Y,Y,N,N
1994,North Daniel,71.06,54.3185,N,N,N,N
1994,Emilyland,69.44,45.0343,N,N,N,N
1995,East Xavierport,74.66,30.1154,N,N,N,N
1995,North Daniel,71.42,60.9949,N,N,N,N
1995,Emilyland,69.98,46.2075,N,N,N,N
1996,Emilyland,69.98,38.311,Y,Y,N,N
1996,East Xavierport,74.66,34.5685,N,N,N,Y
1996,North Daniel,72.14,65.2162,no,N,N,Y
1997,Emilyland,70.34,42.8095,Y,Y,N,N
1997,East Xavierport,75.38,32.674,N,N,Y,N
1997,North Daniel,71.42,62.9599,N,N,N,Y
1998,Emilyland,69.98,48.4705,N,N,N,Y
1998,East Xavierport,75.02,33.5355,N,N,N,N
1998,North Daniel,71.42,61.8677,N,N,N,Y
1999,East Xavierport,75.2,33.2181,N,N,N,N
1999,North Daniel,71.6,61.4225,Y,Y,N,N
1999,Emilyland,69.80000000000001,41.0449,N,0,N,N
2000,North Daniel,71.6,56.5126,Y,Y,N,N
2000,East Xavierport,75.74000000000001,32.1335,Y,Y,N,N
2000,Emilyland,70.16,47.8366,Y,N,N,Y
2001,North Daniel,71.6,73.1099,N,N,N,Y
2001,East Xavierport,75.38,38.0807,N,N,N,Y
2001,Emilyland,69.80000000000001,53.1374,N,N,N,Y
2002,Emilyland,70.34,53.8894,Y,N,N,Y
2002,North Daniel,71.96000000000001,64.6229,N,N,N,Y
2002,East Xavierport,75.74000000000001,33.7689,Y,n,N,Y
2003,East Xavierport,75.56,38.9819,N,N,N,Y
2003,Emilyland,70.52,44.6902,Y,Y,N,no
2003,North Daniel,71.42,59.8851,N,N,N,N
2004,North Daniel,71.42,67.7914,N,N,N,Y
2004,East Xavierport,75.38,40.789,Y,N,N,Y
2004,Emilyland,70.34,47.2866,1,N,N,Y
2005,Emilyland,70.52,45.3107,Y,Y,N,N
2005,North Daniel,71.78,72.4894,N,N,N,Y
2005,East Xavierport,75.56,36.8028,Y,N,N,Y
2006,Emilyland,70.52,56.7681,Y,N,0,Y
2006,East Xavierport,75.92,41.9099,Y,N,N,Y
2006,North Daniel,71.96000000000001,61.5111,N,N,N,Y
2007,Emilyland,70.34,56.874,Y,N,N,Y
2007,North Daniel,72.32,59.5807,no,Y,N,N
2007,East Xavierport,75.92,39.9047,Y,N,N,Y
