Yield,Year,Avg Min Temp *C,Yr Rain mm,Heat Wave,Dry Spell,Cold Wave,Wet Spell,Irrigation,Location_East Xavierport,Location_Emilyland,Location_North Daniel,Crop Type_Maize,Crop Type_Soy,Crop Type_Wheat
1457.11,0.3589743589743577,0.8070175438596494,0.1551726433716808,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1624.51,0.1025641025641022,0.140350877192982,0.21587602634504965,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
1730.43,0.1282051282051313,0.6315789473684208,0.03514672595997248,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
1469.45,0.974358974358978,0.9122807017543857,0.358005596596517,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1487.11,0.6410256410256423,0.4385964912280702,0.829593230428988,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1468.61,0.8205128205128247,0.9122807017543857,0.32281163558815995,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1494.91,0.2051282051282044,0.29824561403508776,0.5764123754074372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
970.13,0.6666666666666643,0.31578947368420973,0.564529322324549,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1621.46,0.1794871794871824,0.12280701754385959,0.22779111376513617,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
1694.36,0.8205128205128247,0.4385964912280702,0.6700516371477928,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
789.62,0.4615384615384599,0.40350877192982404,0.6505094833652644,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1178.79,0.9230769230769269,0.5438596491228069,0.8608238814669517,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
792.1,0.2564102564102555,0.35087719298245634,0.505871078878641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
789.63,0.4358974358974379,0.40350877192982404,0.6689241692011473,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
